entity_id,state,last_changed
sensor.co2_mh_z19_co2_value,1021,2025-02-20T23:26:46.184Z
sensor.co2_mh_z19_co2_value,996,2025-02-20T23:27:46.181Z
sensor.co2_mh_z19_co2_value,1045,2025-02-20T23:28:46.180Z
sensor.co2_mh_z19_co2_value,1037,2025-02-20T23:29:46.182Z
sensor.co2_mh_z19_co2_value,994,2025-02-20T23:30:46.182Z
sensor.co2_mh_z19_co2_value,991,2025-02-20T23:31:46.178Z
sensor.co2_mh_z19_co2_value,1010,2025-02-20T23:32:46.179Z
sensor.co2_mh_z19_co2_value,1032,2025-02-20T23:33:46.179Z
sensor.co2_mh_z19_co2_value,1037,2025-02-20T23:34:46.182Z
sensor.co2_mh_z19_co2_value,1033,2025-02-20T23:35:46.182Z
sensor.co2_mh_z19_co2_value,1037,2025-02-20T23:36:46.193Z
sensor.co2_mh_z19_co2_value,1029,2025-02-20T23:37:46.181Z
sensor.co2_mh_z19_co2_value,1031,2025-02-20T23:38:46.184Z
sensor.co2_mh_z19_co2_value,1038,2025-02-20T23:39:46.182Z
sensor.co2_mh_z19_co2_value,1032,2025-02-20T23:40:46.184Z
sensor.co2_mh_z19_co2_value,1044,2025-02-20T23:41:46.182Z
sensor.co2_mh_z19_co2_value,1052,2025-02-20T23:42:46.196Z
sensor.co2_mh_z19_co2_value,1043,2025-02-20T23:43:46.195Z
sensor.co2_mh_z19_co2_value,1034,2025-02-20T23:44:46.184Z
sensor.co2_mh_z19_co2_value,1035,2025-02-20T23:45:46.184Z
sensor.co2_mh_z19_co2_value,1281,2025-02-20T23:46:46.182Z
sensor.co2_mh_z19_co2_value,1302,2025-02-20T23:47:46.194Z
sensor.co2_mh_z19_co2_value,1291,2025-02-20T23:48:46.183Z
sensor.co2_mh_z19_co2_value,1280,2025-02-20T23:49:46.183Z
sensor.co2_mh_z19_co2_value,1284,2025-02-20T23:50:46.185Z
sensor.co2_mh_z19_co2_value,1283,2025-02-20T23:51:46.183Z
sensor.co2_mh_z19_co2_value,1298,2025-02-20T23:52:46.192Z
sensor.co2_mh_z19_co2_value,1309,2025-02-20T23:53:46.183Z
sensor.co2_mh_z19_co2_value,1277,2025-02-20T23:54:46.183Z
